model,split,num_eval_images,latent_refit,exposure_alignment,psnr_ldr,psnr_hdr_fixed_gauge
reni_d9,test,21,False,none,18.600348,9.867354
retrained_d9,test,21,True,none,14.609264,8.151592
transformer_d9,test,21,True,none,15.019278,8.270738
reni_pp_d9,test,21,True,median_ratio,18.893693,10.318934
two_bracket_d9,test,21,True,none,19.025491,11.498931
reni_d36,test,21,False,none,20.112096,10.794166
retrained_d36,test,21,True,none,16.645336,8.929076
transformer_d36,test,21,True,none,16.327501,8.602395
reni_pp_d36,test,21,True,median_ratio,20.997790,11.379394
two_bracket_d36,test,21,True,none,20.750411,12.835831
reni_d49,test,21,False,none,20.419344,10.945807
retrained_d49,test,21,True,none,17.104228,9.034570
transformer_d49,test,21,True,none,16.898611,8.736273
reni_pp_d49,test,21,True,median_ratio,21.540229,11.773667
two_bracket_d49,test,21,True,none,21.227735,13.395875
reni_d100,test,21,False,none,20.831544,11.187866
retrained_d100,test,21,True,none,18.202936,9.590884
transformer_d100,test,21,True,none,17.749188,9.144846
reni_pp_d100,test,21,True,median_ratio,22.308564,12.512582
two_bracket_d100,test,21,True,none,21.954852,14.022646
