D,model,psnr_ldr,ssim_ldr,lpips_ldr
27,RENI,15.4132,0.3935,0.7497
27,RENI++,18.5467,0.4328,0.6098
27,SH,15.0031,0.3559,0.7941
27,SG,17.6689,0.3809,0.7953
108,RENI,16.2103,0.3970,0.7641
108,RENI++,20.5780,0.4921,0.5528
108,SH,17.8791,0.4042,0.7868
108,SG,19.2699,0.4329,0.6963
147,RENI,16.7127,0.4183,0.7670
147,RENI++,22.0607,0.5534,0.5045
147,SH,18.2325,0.4177,0.7745
147,SG,19.8123,0.4498,0.6654
300,RENI,18.8822,0.4646,0.7161
300,RENI++,22.3229,0.5602,0.5044
300,SH,19.1532,0.4589,0.7407
300,SG,20.2414,0.4785,0.6114
