D,model,psnr_ldr,ssim_ldr,lpips_ldr,psnr_hdr,psnr_hdr_aligned
27,SH,15.0031,0.3559,0.7941,9.4565,9.4565
27,SG,17.6689,0.3809,0.7952,10.1883,10.1883
27,RENI,17.0233,0.4203,0.7516,10.1823,10.1823
27,RENI++,17.8910,0.3973,0.6206,10.4060,10.4060
27,RENI++ (thesis),18.3589,0.4370,0.6045,11.6733,11.7870
108,SH,17.8791,0.4042,0.7867,10.4010,10.4010
108,SG,19.2699,0.4329,0.6962,13.4267,13.4267
108,RENI,19.5817,0.4649,0.7473,10.9008,10.9008
108,RENI++,20.6794,0.4903,0.5577,11.5200,11.5200
108,RENI++ (thesis),20.3071,0.4906,0.5533,13.0124,13.1344
147,SH,18.2325,0.4177,0.7744,10.4007,10.4007
147,SG,19.8123,0.4498,0.6653,15.0527,15.0527
147,RENI,19.9662,0.4721,0.7354,11.0319,11.0319
147,RENI++,20.9835,0.5085,0.5478,11.9222,11.9222
147,RENI++ (thesis),20.6179,0.4907,0.5453,13.3389,13.4787
300,SH,19.1532,0.4589,0.7406,10.8403,10.8403
300,SG,20.2414,0.4785,0.6114,17.4215,17.4215
300,RENI,20.4668,0.4889,0.7294,11.2757,11.2757
300,RENI++,22.0136,0.5498,0.5161,12.3899,12.3899
300,RENI++ (thesis),21.8234,0.5363,0.5164,14.5610,14.8395
