model,hidden_psnr_hdr,hidden_psnr_ldr,visible_psnr_ldr,full_psnr_hdr,full_psnr_ldr
sh,-116.379860,5.613984,19.929220,-116.035759,5.941883
sg,-10.839279,7.641839,17.132120,-10.535730,7.937387
reni_old,6.441000,11.694554,19.225798,6.178113,11.955832
reni_pp,3.945048,12.628057,15.206633,2.709896,12.667275
logdom_1cyc,2.562580,11.918602,14.735579,2.207526,12.002657
logdom_std_100k,3.038508,12.252372,14.859927,2.376060,12.352608
logdom_2cyc,4.101438,13.044365,17.027975,3.057466,13.175502
w3_2cyc,10.285651,13.873749,19.033642,8.785616,14.084490
vnjoint_2cyc,9.898445,13.396315,20.444868,8.761472,13.658400
vnjoint_ortho_2cyc,10.485761,14.415827,19.193045,9.027989,14.628386
