model,hidden_psnr_hdr,hidden_psnr_ldr,visible_psnr_hdr,full_lpips_ldr,full_peak_angle_error_deg
sh,-1.534826,4.539222,1.964347,0.983969,62.915726
sh_prior,9.786687,13.414257,16.421347,0.799426,57.429424
sg,-31.461313,5.508175,-31.322189,0.918648,60.722801
sg_prior,5.116741,12.633711,15.668868,0.837857,69.201187
reni_old,6.187385,12.957034,17.636358,0.797449,57.249836
reni_pp,8.343131,13.569211,19.219700,0.638177,65.224411
logdom_1cyc,5.898122,12.608778,19.559591,0.650001,78.819695
logdom_std_100k,6.567933,13.105928,20.092222,0.628164,61.443760
logdom_2cyc,8.434092,12.925203,21.354752,0.619501,44.865299
w3_2cyc,9.948212,13.936576,19.833893,0.634449,52.144356
vnjoint_2cyc,9.953929,13.571177,20.324184,0.615162,54.700275
vnjoint_ortho_2cyc,10.099835,14.664304,19.675049,0.626785,50.211090
