angle,mode,regime,optimizer,n_images,rel_err_direct_mean,rel_err_direct_std,rel_err_procrustes_mean,rel_err_procrustes_std,rot_mat_err_fro_mean,rot_mat_err_fro_std,rot_geodesic_deg_mean,rot_geodesic_deg_std
5,rotated_directions,full_image,adam,8,0.453092,0.0738201,0.442886,0.0639258,0.103456,0.0484574,4.193,1.96548
5,rotated_directions,full_image,gd,8,0.0580346,0.0628017,0.0582171,0.0633178,0.0105904,0.0109967,0.428606,0.445793
5,rotated_directions,random,adam,8,0.626934,0.080276,0.630909,0.0852546,0.177597,0.114589,7.20646,4.66231
5,rotated_directions,random,gd,8,0.373595,0.12941,0.37429,0.130593,0.0534166,0.0293949,2.16433,1.19142
5,resampled_image,full_image,adam,8,0.45146,0.077084,0.442748,0.0651871,0.0965474,0.0480401,3.91288,1.9485
5,resampled_image,full_image,gd,8,0.157883,0.0523021,0.156673,0.05124,0.0251151,0.0143859,1.01747,0.582913
5,resampled_image,random,adam,8,0.607792,0.063967,0.614328,0.0746206,0.127052,0.0687074,5.15072,2.78868
5,resampled_image,random,gd,8,0.379159,0.140442,0.382065,0.148781,0.0803403,0.0355025,3.25555,1.43892
20,rotated_directions,full_image,adam,8,0.692939,0.115827,0.678692,0.0960283,0.168633,0.103279,6.84131,4.20205
20,rotated_directions,full_image,gd,8,0.0516451,0.0371669,0.0513509,0.0369309,0.00889143,0.00556623,0.36062,0.224993
20,rotated_directions,random,adam,8,0.725317,0.122374,0.73082,0.134082,0.212341,0.104539,8.6172,4.2579
20,rotated_directions,random,gd,8,0.368057,0.122944,0.367986,0.125458,0.0688803,0.0643369,2.79193,2.60975
20,resampled_image,full_image,adam,8,0.697065,0.118414,0.681729,0.0964113,0.168327,0.0679016,6.82553,2.75774
20,resampled_image,full_image,gd,8,0.132721,0.0916309,0.133027,0.0932076,0.020989,0.0214959,0.850532,0.870912
20,resampled_image,random,adam,8,0.740493,0.0990003,0.740242,0.0984958,0.187338,0.133608,7.60401,5.43393
20,resampled_image,random,gd,8,0.382372,0.112154,0.383449,0.111859,0.076349,0.050603,3.0942,2.05205
45,rotated_directions,full_image,adam,8,0.783909,0.118666,0.780675,0.116517,0.359652,0.149632,14.6297,6.12185
45,rotated_directions,full_image,gd,8,0.0468375,0.0380499,0.0465054,0.0377333,0.00944921,0.0076361,0.382951,0.309296
45,rotated_directions,random,adam,8,0.807713,0.0898207,0.812976,0.0969179,0.357855,0.230899,14.5855,9.47339
45,rotated_directions,random,gd,8,0.384867,0.137319,0.391392,0.147045,0.0577919,0.0256386,2.34168,1.03916
45,resampled_image,full_image,adam,8,0.784295,0.117836,0.78123,0.115544,0.356143,0.13966,14.4836,5.71176
45,resampled_image,full_image,gd,8,0.047468,0.0404457,0.0472285,0.0403792,0.0111876,0.0114757,0.453444,0.464818
45,resampled_image,random,adam,8,0.797127,0.108092,0.804198,0.111503,0.249862,0.157868,10.1533,6.44645
45,resampled_image,random,gd,8,0.362104,0.125505,0.366324,0.130098,0.0732213,0.0463245,2.96726,1.87788
90,rotated_directions,full_image,adam,8,0.0165296,0.0144104,0.0164171,0.0142638,0.00364607,0.00448325,0.147605,0.181635
90,rotated_directions,full_image,gd,8,0.0408909,0.0397538,0.0407428,0.0395748,0.00873444,0.0131123,0.353662,0.531372
90,rotated_directions,random,adam,8,0.599678,0.0868644,0.609377,0.100014,0.159831,0.0931486,6.48285,3.78748
90,rotated_directions,random,gd,8,0.387247,0.116228,0.390465,0.122141,0.0506183,0.0313268,2.05097,1.2695
90,resampled_image,full_image,adam,8,0.0196131,0.0145245,0.0194986,0.0144609,0.00429408,0.00365234,0.17256,0.149687
90,resampled_image,full_image,gd,8,0.0240716,0.0145059,0.0240104,0.0144089,0.00409523,0.0031932,0.166112,0.129058
90,resampled_image,random,adam,8,0.656136,0.119058,0.659289,0.127948,0.193958,0.104252,7.86879,4.23463
90,resampled_image,random,gd,8,0.368587,0.126858,0.369839,0.131811,0.0821685,0.0584364,3.3303,2.37019
180,rotated_directions,full_image,adam,8,0.0194003,0.014285,0.0192916,0.0141618,0.00340593,0.00296009,0.1363,0.121999
180,rotated_directions,full_image,gd,8,0.0598987,0.0613388,0.0601785,0.0622274,0.00992218,0.0114727,0.401918,0.464933
180,rotated_directions,random,adam,8,0.631019,0.112049,0.644685,0.119944,0.148113,0.136169,6.01202,5.53964
180,rotated_directions,random,gd,8,0.397941,0.139293,0.399631,0.146287,0.0641499,0.0288866,2.59933,1.17067
180,resampled_image,full_image,adam,8,0.0176013,0.00951138,0.0175383,0.00946124,0.00328073,0.00258514,0.132877,0.104695
180,resampled_image,full_image,gd,8,0.0513285,0.0549079,0.050962,0.0543844,0.0106412,0.0126877,0.431586,0.513667
180,resampled_image,random,adam,8,0.591907,0.0960228,0.592853,0.106165,0.108647,0.0588967,4.40372,2.38855
180,resampled_image,random,gd,8,0.421611,0.145783,0.422295,0.147233,0.0562392,0.034371,2.2788,1.39301
270,rotated_directions,full_image,adam,8,0.0215532,0.0205999,0.0214271,0.0204434,0.00392828,0.00376856,0.159109,0.152775
270,rotated_directions,full_image,gd,8,0.0366056,0.0311219,0.0364525,0.0309032,0.00603654,0.00490876,0.244456,0.199076
270,rotated_directions,random,adam,8,0.573696,0.126262,0.581585,0.135926,0.154159,0.0886091,6.25153,3.59664
270,rotated_directions,random,gd,8,0.356383,0.100987,0.356777,0.103189,0.0494177,0.0214073,2.00228,0.867427
270,resampled_image,full_image,adam,8,0.0202358,0.0195695,0.0201033,0.0193249,0.00417889,0.00614383,0.168033,0.249874
270,resampled_image,full_image,gd,8,0.048735,0.0434606,0.0484569,0.0431754,0.0067622,0.00450229,0.274122,0.182062
270,resampled_image,random,adam,8,0.63638,0.10816,0.630612,0.114187,0.169516,0.111592,6.87678,4.5318
270,resampled_image,random,gd,8,0.36648,0.0971977,0.367316,0.101781,0.0531099,0.030228,2.15197,1.2251
