angle,mode,regime,optimizer,n_images,rel_err_direct_mean,rel_err_direct_std,rel_err_procrustes_mean,rel_err_procrustes_std,rot_mat_err_fro_mean,rot_mat_err_fro_std,rot_geodesic_deg_mean,rot_geodesic_deg_std
5,rotated_directions,full_image,adam,8,0.453092,0.0738201,0.442886,0.0639258,0.103456,0.0484574,4.193,1.96548
5,rotated_directions,full_image,gd,8,0.0580346,0.0628017,0.0582171,0.0633178,0.0105904,0.0109967,0.428702,0.44575
5,rotated_directions,random,adam,8,0.626934,0.080276,0.630909,0.0852546,0.177597,0.114589,7.20645,4.66231
5,rotated_directions,random,gd,8,0.373595,0.12941,0.37429,0.130593,0.0534166,0.0293949,2.16435,1.19141
5,resampled_image,full_image,adam,8,0.45146,0.077084,0.442748,0.0651871,0.0965474,0.0480401,3.91288,1.94851
5,resampled_image,full_image,gd,8,0.157883,0.0523021,0.156673,0.05124,0.0251152,0.0143859,1.01746,0.582914
5,resampled_image,random,adam,8,0.607792,0.063967,0.614328,0.0746206,0.127052,0.0687074,5.15072,2.78868
5,resampled_image,random,gd,8,0.379159,0.140442,0.382065,0.148781,0.0803403,0.0355025,3.25555,1.43892
15,rotated_directions,full_image,adam,8,0.634202,0.0990659,0.634913,0.10196,0.160713,0.0569589,6.51592,2.31252
15,rotated_directions,full_image,gd,8,0.0397813,0.0469926,0.0397031,0.0469861,0.00689032,0.0090639,0.279636,0.366946
15,rotated_directions,random,adam,8,0.690467,0.117735,0.687211,0.103069,0.153624,0.0543542,6.22804,2.20562
15,rotated_directions,random,gd,8,0.389596,0.106262,0.391758,0.109722,0.0663544,0.041962,2.68889,1.70101
15,resampled_image,full_image,adam,8,0.635137,0.0913208,0.641002,0.0986528,0.14498,0.058242,5.87751,2.36384
15,resampled_image,full_image,gd,8,0.169132,0.083203,0.169546,0.0866517,0.0226034,0.0170298,0.915859,0.689972
15,resampled_image,random,adam,8,0.672993,0.0939099,0.668217,0.0808735,0.196301,0.100068,7.9638,4.06524
15,resampled_image,random,gd,8,0.360963,0.142299,0.365157,0.142577,0.0573169,0.0271084,2.32244,1.09859
25,rotated_directions,full_image,adam,8,0.734602,0.106098,0.721337,0.0956155,0.229114,0.101278,9.29848,4.12426
25,rotated_directions,full_image,gd,8,0.0585611,0.0525293,0.0585514,0.0527016,0.0100284,0.0084083,0.405377,0.341576
25,rotated_directions,random,adam,8,0.771634,0.0767441,0.758892,0.0562237,0.199605,0.113582,8.10037,4.62301
25,rotated_directions,random,gd,8,0.370215,0.123572,0.373827,0.126789,0.0490007,0.0208607,1.9853,0.845326
25,resampled_image,full_image,adam,8,0.736713,0.106095,0.722945,0.0937314,0.235943,0.109689,9.5776,4.47028
25,resampled_image,full_image,gd,8,0.126268,0.039463,0.125303,0.0391237,0.0198065,0.00645644,0.802319,0.261625
25,resampled_image,random,adam,8,0.778312,0.0929983,0.771799,0.076026,0.229382,0.10156,9.30946,4.13563
