angle,mode,regime,optimizer,n_images,rel_err_direct_mean,rel_err_direct_std,rel_err_procrustes_mean,rel_err_procrustes_std,rot_mat_err_fro_mean,rot_mat_err_fro_std,rot_geodesic_deg_mean,rot_geodesic_deg_std
5,rotated_directions,full_image,adam,3,0.684323,0.233298,0.684592,0.253308,0.251032,0.158811,10.1937,6.45708
5,rotated_directions,full_image,gd,3,0.214118,0.121781,0.214965,0.124652,0.057724,0.0683777,2.33929,2.77156
5,rotated_directions,random,adam,3,0.62269,0.133483,0.598169,0.133449,0.188047,0.0924555,7.62712,3.75646
5,rotated_directions,random,gd,3,0.706405,0.174588,0.682918,0.181873,0.197046,0.108068,7.99314,4.38668
5,resampled_image,full_image,adam,3,0.692047,0.26264,0.677113,0.260986,0.219168,0.144582,8.89606,5.87728
5,resampled_image,full_image,gd,3,0.43524,0.390171,0.456364,0.430346,0.0709889,0.0571474,2.87676,2.31644
5,resampled_image,random,adam,3,0.632511,0.223611,0.63421,0.207186,0.190559,0.118789,7.73125,4.82844
5,resampled_image,random,gd,3,0.744196,0.115305,0.729079,0.12211,0.170853,0.138887,6.93096,5.63517
20,rotated_directions,full_image,adam,3,0.782927,0.0804695,0.781813,0.130232,0.152057,0.0461374,6.16396,1.87168
20,rotated_directions,full_image,gd,3,0.23582,0.110532,0.236649,0.111277,0.0647369,0.0632529,2.62353,2.56385
20,rotated_directions,random,adam,3,0.89841,0.111991,0.876636,0.140532,0.42343,0.242491,17.2685,9.98724
20,rotated_directions,random,gd,3,0.680195,0.347632,0.666755,0.348036,0.104889,0.0951794,4.25229,3.86044
20,resampled_image,full_image,adam,3,0.806549,0.0712303,0.80033,0.126481,0.192753,0.0658287,7.81666,2.67244
20,resampled_image,full_image,gd,3,0.43509,0.370936,0.452423,0.406524,0.150431,0.172342,6.10647,7.00203
20,resampled_image,random,adam,3,0.936453,0.161443,0.955908,0.235643,0.443225,0.170172,18.0548,6.99688
20,resampled_image,random,gd,3,0.565182,0.0610971,0.57331,0.0868169,0.0928119,0.0350161,3.76108,1.41939
45,rotated_directions,full_image,adam,3,0.867386,0.0385946,0.898378,0.0292596,0.40107,0.0559421,16.3061,2.28786
45,rotated_directions,full_image,gd,3,0.241264,0.104089,0.247467,0.112396,0.0369782,0.0246804,1.49829,0.999896
45,rotated_directions,random,adam,3,0.891843,0.0536247,0.88756,0.136977,0.214237,0.166503,8.69966,6.77797
45,rotated_directions,random,gd,3,0.63362,0.102,0.619701,0.112418,0.0784904,0.0368771,3.18057,1.4945
45,resampled_image,full_image,adam,3,0.867288,0.0385596,0.89857,0.0293259,0.404463,0.0577833,16.4451,2.36357
45,resampled_image,full_image,gd,3,0.275288,0.236513,0.275495,0.237837,0.0286879,0.0100809,1.16235,0.408431
45,resampled_image,random,adam,3,0.903147,0.0276151,0.946676,0.21602,0.366755,0.298304,14.9535,12.1903
45,resampled_image,random,gd,3,0.688159,0.153396,0.693322,0.143586,0.110847,0.0616148,4.49274,2.49819
90,rotated_directions,full_image,adam,3,0.0496266,0.0516396,0.0493457,0.0516463,0.00695697,0.00601832,0.281857,0.243828
90,rotated_directions,full_image,gd,3,0.327578,0.304059,0.340775,0.327214,0.074866,0.0913251,3.0348,3.70282
90,rotated_directions,random,adam,3,0.747141,0.310027,0.707602,0.242152,0.319091,0.305068,13.0151,12.502
90,rotated_directions,random,gd,3,0.6918,0.193636,0.688348,0.225109,0.163521,0.139993,6.63496,5.68819
90,resampled_image,full_image,adam,3,0.0572643,0.0662437,0.0569464,0.0661252,0.0078075,0.00655195,0.316316,0.265448
90,resampled_image,full_image,gd,3,0.187702,0.0767245,0.188382,0.0780347,0.0245471,0.0135093,0.994529,0.547344
90,resampled_image,random,adam,3,0.790241,0.196397,0.808331,0.184367,0.367103,0.179903,14.9338,7.34065
90,resampled_image,random,gd,3,0.64432,0.131379,0.649112,0.145176,0.0494189,0.0136096,2.00228,0.551473
180,rotated_directions,full_image,adam,3,0.047806,0.0611741,0.0476156,0.0609019,0.00498378,0.00721593,0.201915,0.292349
180,rotated_directions,full_image,gd,3,0.231743,0.113091,0.23203,0.11623,0.0396801,0.0366497,1.60777,1.4851
180,rotated_directions,random,adam,3,0.682922,0.199993,0.682813,0.196828,0.149236,0.0396258,6.04939,1.60771
180,rotated_directions,random,gd,3,0.690597,0.202282,0.683697,0.228595,0.177154,0.013867,7.182,0.562963
180,resampled_image,full_image,adam,3,0.049874,0.0640776,0.0496953,0.0638472,0.00766951,0.0113638,0.310727,0.460399
180,resampled_image,full_image,gd,3,0.275374,0.193831,0.271577,0.188057,0.0734172,0.0837148,2.97584,3.39403
180,resampled_image,random,adam,3,0.661294,0.179458,0.668351,0.189352,0.15078,0.0736865,6.11313,2.99097
180,resampled_image,random,gd,3,0.659553,0.348891,0.662891,0.370007,0.217163,0.221868,8.82844,9.03922
270,rotated_directions,full_image,adam,3,0.0385041,0.0376651,0.0381133,0.0372127,0.00676994,0.00565579,0.27428,0.22914
270,rotated_directions,full_image,gd,3,0.239213,0.174636,0.243333,0.18238,0.0308382,0.0183642,1.24943,0.744077
270,rotated_directions,random,adam,3,0.770608,0.251777,0.787368,0.209946,0.311292,0.016803,12.6375,0.68482
270,rotated_directions,random,gd,3,0.605385,0.198637,0.619084,0.23992,0.141618,0.0702832,5.74107,2.85084
270,resampled_image,full_image,adam,3,0.0541029,0.0601195,0.0539345,0.0599866,0.00921035,0.00911724,0.373152,0.369382
270,resampled_image,full_image,gd,3,0.279888,0.150187,0.281134,0.148817,0.0507907,0.053868,2.05816,2.18312
270,resampled_image,random,adam,3,0.687312,0.305834,0.667499,0.242038,0.170301,0.124338,6.90885,5.05183
270,resampled_image,random,gd,3,0.809586,0.287251,0.792353,0.277649,0.358619,0.410764,14.6994,16.934
