angle,mode,regime,optimizer,n_images,rel_err_direct_mean,rel_err_direct_std,rel_err_procrustes_mean,rel_err_procrustes_std,rot_mat_err_fro_mean,rot_mat_err_fro_std,rot_geodesic_deg_mean,rot_geodesic_deg_std
45,rotated_directions,full_image,adam,3,1.02778,0.0462351,1.09342,0.0268501,0.562262,0.308534,23.02,12.7158
45,rotated_directions,full_image,gd,3,0.0650167,0.0910172,0.0645137,0.0903048,0.00858224,0.0108293,0.3497,0.436553
45,rotated_directions,random,adam,3,1.02837,0.11095,1.05164,0.234258,0.333865,0.128657,13.5673,5.24982
45,rotated_directions,random,gd,3,0.379439,0.29257,0.384163,0.30234,0.0455606,0.0392166,1.84612,1.58908
45,resampled_image,full_image,adam,3,1.02864,0.04486,1.08724,0.0198526,0.590247,0.279095,24.1703,11.5522
45,resampled_image,full_image,gd,3,0.0703367,0.102228,0.0689113,0.0998659,0.0122597,0.0186126,0.498586,0.752343
45,resampled_image,random,adam,3,0.998825,0.09375,1.03431,0.253478,0.423532,0.0355962,17.2248,1.45844
45,resampled_image,random,gd,3,0.406252,0.253398,0.403923,0.258124,0.0811934,0.041777,3.29019,1.69316
90,rotated_directions,full_image,adam,3,0.200928,0.133788,0.198846,0.132437,0.0394804,0.0369863,1.59967,1.49871
90,rotated_directions,full_image,gd,3,3.18742e-14,4.48309e-14,3.17118e-14,4.47291e-14,5.18993e-15,4.6869e-15,0,0
90,rotated_directions,random,adam,3,0.914442,0.263335,0.962299,0.247433,0.331653,0.258668,13.5065,10.5702
90,rotated_directions,random,gd,3,0.441201,0.262229,0.441592,0.268956,0.059419,0.0292593,2.40757,1.18563
90,resampled_image,full_image,adam,3,0.215833,0.142719,0.216001,0.142494,0.0322004,0.0286049,1.30465,1.159
90,resampled_image,full_image,gd,3,0.0438948,0.0521173,0.0433134,0.0512036,0.00858374,0.0109227,0.347766,0.442528
90,resampled_image,random,adam,3,0.950029,0.175095,1.02512,0.235077,0.427406,0.336388,17.4819,13.8969
90,resampled_image,random,gd,3,0.454685,0.198967,0.454125,0.205302,0.0774549,0.0492367,3.13875,1.99571
137,rotated_directions,full_image,adam,3,1.06646,0.0564789,1.0742,0.14837,0.47419,0.366891,19.4288,15.1913
137,rotated_directions,full_image,gd,3,0.0405939,0.0504465,0.0402145,0.0499073,0.00648088,0.00850142,0.261067,0.346031
137,rotated_directions,random,adam,3,1.04725,0.0590966,1.07529,0.121814,0.615865,0.39165,25.3037,16.1758
137,rotated_directions,random,gd,3,0.43272,0.249289,0.429436,0.251172,0.0577035,0.0203502,2.338,0.82463
137,resampled_image,full_image,adam,3,1.01964,0.0534525,1.00774,0.13602,0.3899,0.329029,15.9333,13.5537
137,resampled_image,full_image,gd,3,0.141339,0.106893,0.137324,0.102919,0.0161308,0.0118061,0.653443,0.478406
137,resampled_image,random,adam,3,1.08261,0.104252,1.09449,0.161659,0.551569,0.0735983,22.496,3.04444
137,resampled_image,random,gd,3,0.427243,0.228511,0.429564,0.238596,0.0562562,0.0400383,2.27948,1.62261
