angle,mode,regime,optimizer,n_images,rel_err_direct_mean,rel_err_direct_std,rel_err_procrustes_mean,rel_err_procrustes_std,rot_mat_err_fro_mean,rot_mat_err_fro_std,rot_geodesic_deg_mean,rot_geodesic_deg_std
45,rotated_directions,full_image,adam,3,0.868353,0.0412761,0.899021,0.0299262,0.40984,0.0573412,16.6653,2.34664
45,rotated_directions,full_image,gd,3,0.269857,0.31735,0.25837,0.300432,0.0246684,0.03012,0.999616,1.22029
45,rotated_directions,random,adam,3,0.883467,0.0389347,0.891099,0.140481,0.254104,0.154308,10.3198,6.28497
45,rotated_directions,random,gd,3,0.65717,0.0949567,0.646031,0.10221,0.123996,0.0566493,5.02583,2.29692
45,resampled_image,full_image,adam,3,0.867961,0.0402098,0.898755,0.0298952,0.405997,0.0532144,16.5076,2.17714
45,resampled_image,full_image,gd,3,0.231118,0.261909,0.229077,0.26013,0.0203986,0.0203735,0.826752,0.825111
45,resampled_image,random,adam,3,0.878924,0.0349388,0.936793,0.236968,0.37637,0.242889,15.3298,9.9242
45,resampled_image,random,gd,3,0.728375,0.172585,0.722515,0.154015,0.185741,0.107453,7.53422,4.36366
90,rotated_directions,full_image,adam,3,0.00853519,0.00518192,0.00854088,0.00524051,0.00192828,0.00155974,0.0781227,0.0631918
90,rotated_directions,full_image,gd,3,7.19531e-10,1.24625e-09,7.13021e-10,1.23497e-09,1.42676e-10,2.47119e-10,0,0
90,rotated_directions,random,adam,3,0.740885,0.294739,0.713893,0.248241,0.329716,0.312534,13.4532,12.8157
90,rotated_directions,random,gd,3,0.704821,0.171292,0.690952,0.183441,0.178138,0.140397,7.22879,5.70696
90,resampled_image,full_image,adam,3,0.0434552,0.0723715,0.0430538,0.0716878,0.00524418,0.00865903,0.212465,0.350816
90,resampled_image,full_image,gd,3,0.21075,0.271803,0.210726,0.27201,0.062412,0.0859007,2.52975,3.48221
90,resampled_image,random,adam,3,0.778663,0.17722,0.810102,0.186048,0.364521,0.196908,14.8318,8.03367
90,resampled_image,random,gd,3,0.649402,0.12497,0.656303,0.151312,0.0574629,0.00604499,2.32823,0.24496
137,rotated_directions,full_image,adam,3,0.852273,0.0337541,0.885707,0.0479649,0.485412,0.291083,19.8463,12.0574
137,rotated_directions,full_image,gd,3,0.0755593,0.0874959,0.074588,0.086051,0.009353,0.00976371,0.378702,0.395778
137,rotated_directions,random,adam,3,0.898676,0.0654607,0.936751,0.0627949,0.665221,0.220922,27.2643,9.20322
137,rotated_directions,random,gd,3,0.725231,0.2916,0.738891,0.331959,0.290317,0.304257,11.8383,12.4551
137,resampled_image,full_image,adam,3,0.817097,0.0677552,0.825536,0.096361,0.293552,0.0948565,11.9193,3.86771
137,resampled_image,full_image,gd,3,0.472785,0.319845,0.482664,0.336486,0.0865604,0.068958,3.50826,2.79592
137,resampled_image,random,adam,3,0.93806,0.0542762,0.986799,0.150881,0.500366,0.249748,20.4345,10.2935
137,resampled_image,random,gd,3,0.680902,0.17855,0.692656,0.194249,0.136885,0.071759,5.54927,2.91196
