angle,mode,regime,optimizer,n_images,rel_err_direct_mean,rel_err_direct_std,rel_err_procrustes_mean,rel_err_procrustes_std,rot_mat_err_fro_mean,rot_mat_err_fro_std,rot_geodesic_deg_mean,rot_geodesic_deg_std
90,rotated_directions,full_image,adam,3,0.0035204,0.00558569,0.00350526,0.00556155,0.000382053,0.000582174,0.0154783,0.0235866
90,rotated_directions,full_image,gd,3,1.09511e-13,1.48482e-13,1.09457e-13,1.4844e-13,6.73654e-15,7.03237e-15,4.02473e-07,6.97103e-07
90,rotated_directions,random,adam,3,0.626507,0.292425,0.608508,0.284815,0.21014,0.13121,8.52822,5.33628
90,rotated_directions,random,gd,3,0.251408,0.146278,0.255636,0.153004,0.0421528,0.0424071,1.708,1.71845
90,resampled_image,full_image,adam,3,0.00415065,0.00566205,0.00411074,0.00559486,0.000922186,0.00136143,0.0373617,0.0551571
90,resampled_image,full_image,gd,3,0.00832073,0.00869338,0.00830119,0.00867289,0.000929568,0.000958613,0.0376607,0.0388375
90,resampled_image,random,adam,3,0.686809,0.29182,0.656672,0.264743,0.12448,0.0536863,5.04545,2.1775
90,resampled_image,random,gd,3,0.261313,0.110651,0.267166,0.125906,0.0512733,0.0184699,2.07744,0.74842
180,rotated_directions,full_image,adam,3,0.00475392,0.0072847,0.00472936,0.00724387,0.000701186,0.00104542,0.028408,0.0423544
180,rotated_directions,full_image,gd,3,7.3111e-14,7.74671e-14,7.282e-14,7.73614e-14,9.23717e-15,4.4944e-15,0,0
180,rotated_directions,random,adam,3,0.612537,0.20084,0.611604,0.205092,0.107698,0.0900717,4.36589,3.6527
180,rotated_directions,random,gd,3,0.254454,0.124956,0.259655,0.136384,0.0586065,0.0482626,2.37482,1.95593
180,resampled_image,full_image,adam,3,0.00557073,0.00854744,0.00557091,0.00855345,0.000850099,0.00126084,0.0344411,0.0510819
180,resampled_image,full_image,gd,3,0.00891063,0.0102478,0.00889267,0.0102273,0.000861415,0.000875074,0.0348996,0.035453
180,resampled_image,random,adam,3,0.681317,0.0932727,0.687452,0.0960983,0.190858,0.0858107,7.74092,3.48673
180,resampled_image,random,gd,3,0.251789,0.116152,0.257883,0.129152,0.0331646,0.0116677,1.34368,0.472747
270,rotated_directions,full_image,adam,3,0.00313925,0.00525827,0.00312296,0.00523158,0.000386812,0.00063424,0.0156712,0.0256959
270,rotated_directions,full_image,gd,3,3.82828e-14,3.35315e-14,3.82823e-14,3.3533e-14,2.25042e-15,1.839e-15,8.04946e-07,6.97103e-07
270,rotated_directions,random,adam,3,0.659922,0.17794,0.650854,0.171361,0.121508,0.0373812,4.9246,1.51581
270,rotated_directions,random,gd,3,0.239148,0.155583,0.248069,0.171642,0.0339732,0.0195965,1.37645,0.793993
270,resampled_image,full_image,adam,3,0.00543519,0.00793993,0.00542676,0.0079314,0.000880331,0.00120649,0.0356659,0.0488799
270,resampled_image,full_image,gd,3,0.00643249,0.00852619,0.00640488,0.00850892,0.00112765,0.00129179,0.0456858,0.0523357
270,resampled_image,random,adam,3,0.747771,0.227741,0.742054,0.205155,0.230383,0.181436,9.35768,7.38351
270,resampled_image,random,gd,3,0.233265,0.19045,0.241284,0.205017,0.0493193,0.0348771,1.99835,1.41335
