angle,mode,regime,optimizer,n_images,rel_err_direct_mean,rel_err_direct_std,rel_err_procrustes_mean,rel_err_procrustes_std,rot_mat_err_fro_mean,rot_mat_err_fro_std,rot_geodesic_deg_mean,rot_geodesic_deg_std
5,rotated_directions,full_image,adam,3,0.684323,0.233298,0.684592,0.253308,0.251032,0.158811,10.1937,6.45708
5,rotated_directions,full_image,gd,3,0.0044788,0.00291684,0.00445098,0.00289573,0.00118626,0.000657965,0.045964,0.028172
5,rotated_directions,random,adam,3,0.62269,0.133483,0.598169,0.133449,0.188047,0.0924555,7.62712,3.75646
5,rotated_directions,random,gd,3,0.151862,0.0810139,0.151245,0.0819358,0.0479565,0.0305896,1.94302,1.23951
5,resampled_image,full_image,adam,3,0.692047,0.26264,0.677113,0.260986,0.219168,0.144582,8.89606,5.87728
5,resampled_image,full_image,gd,3,0.0369545,0.0373476,0.0367841,0.0371212,0.00820516,0.0079852,0.331839,0.324093
5,resampled_image,random,adam,3,0.632511,0.223611,0.63421,0.207186,0.190559,0.118789,7.73125,4.82844
5,resampled_image,random,gd,3,0.151691,0.0965536,0.152176,0.0978313,0.0436736,0.0327673,1.76942,1.32782
20,rotated_directions,full_image,adam,3,0.782927,0.0804695,0.781813,0.130232,0.152057,0.0461374,6.16396,1.87168
20,rotated_directions,full_image,gd,3,0.00913566,0.00924734,0.00911505,0.00925299,0.00180932,0.00186741,0.074537,0.0745303
20,rotated_directions,random,adam,3,0.89841,0.111991,0.876636,0.140532,0.42343,0.242491,17.2685,9.98724
20,rotated_directions,random,gd,3,0.151343,0.0865233,0.151227,0.088884,0.0447477,0.0191426,1.81305,0.775636
20,resampled_image,full_image,adam,3,0.806549,0.0712303,0.80033,0.126481,0.192753,0.0658287,7.81666,2.67244
20,resampled_image,full_image,gd,3,0.0273686,0.0327713,0.0272049,0.0325248,0.00497061,0.00617532,0.201838,0.249845
20,resampled_image,random,adam,3,0.936453,0.161443,0.955908,0.235643,0.443225,0.170172,18.0548,6.99688
20,resampled_image,random,gd,3,0.157236,0.066224,0.156514,0.0674948,0.048304,0.0218478,1.95715,0.885239
45,rotated_directions,full_image,adam,3,0.867386,0.0385946,0.898378,0.0292596,0.40107,0.0559421,16.3061,2.28786
45,rotated_directions,full_image,gd,3,0.0035538,0.00323202,0.00355219,0.00324338,0.000658676,0.000734218,0.0301724,0.0274958
45,rotated_directions,random,adam,3,0.891843,0.0536247,0.88756,0.136977,0.214237,0.166503,8.69966,6.77797
45,rotated_directions,random,gd,3,0.133584,0.0862497,0.133826,0.0873585,0.037848,0.0187997,1.5335,0.761719
45,resampled_image,full_image,adam,3,0.867288,0.0385596,0.89857,0.0293259,0.404463,0.0577833,16.4451,2.36357
45,resampled_image,full_image,gd,3,0.00602216,0.00549843,0.0060252,0.00550174,0.000425898,0.000253188,0.0208716,0.00818125
45,resampled_image,random,adam,3,0.903147,0.0276151,0.946676,0.21602,0.366755,0.298304,14.9535,12.1903
45,resampled_image,random,gd,3,0.13647,0.0912924,0.136288,0.0926613,0.040189,0.0266987,1.62839,1.08172
90,rotated_directions,full_image,adam,3,0.0496266,0.0516396,0.0493457,0.0516463,0.00695697,0.00601832,0.281857,0.243828
90,rotated_directions,full_image,gd,3,0.0039212,0.00276037,0.00390093,0.00274091,0.000823985,0.000610089,0.0333831,0.0247173
90,rotated_directions,random,adam,3,0.747141,0.310027,0.707602,0.242152,0.319091,0.305068,13.0151,12.502
90,rotated_directions,random,gd,3,0.160639,0.0937083,0.160125,0.0949266,0.0518132,0.0407492,2.09941,1.65113
90,resampled_image,full_image,adam,3,0.0572643,0.0662437,0.0569464,0.0661252,0.0078075,0.00655195,0.316316,0.265448
90,resampled_image,full_image,gd,3,0.00872733,0.0096242,0.008714,0.00961786,0.00140175,0.00177611,0.0567907,0.0719577
90,resampled_image,random,adam,3,0.790241,0.196397,0.808331,0.184367,0.367103,0.179903,14.9338,7.34065
90,resampled_image,random,gd,3,0.164509,0.0638013,0.163885,0.0653935,0.0510584,0.0317418,2.06879,1.28618
180,rotated_directions,full_image,adam,3,0.047806,0.0611741,0.0476156,0.0609019,0.00498378,0.00721593,0.201915,0.292349
180,rotated_directions,full_image,gd,3,0.0125454,0.0165799,0.0124783,0.0164857,0.0021623,0.00307733,0.0876038,0.124676
180,rotated_directions,random,adam,3,0.682922,0.199993,0.682813,0.196828,0.149236,0.0396258,6.04939,1.60771
180,rotated_directions,random,gd,3,0.148147,0.0926926,0.147867,0.0943885,0.0394825,0.0190578,1.59968,0.772206
180,resampled_image,full_image,adam,3,0.049874,0.0640776,0.0496953,0.0638472,0.00766951,0.0113638,0.310727,0.460399
180,resampled_image,full_image,gd,3,0.00503987,0.00352315,0.0050273,0.00352574,0.000951005,0.000764769,0.0385293,0.030984
180,resampled_image,random,adam,3,0.661294,0.179458,0.668351,0.189352,0.15078,0.0736865,6.11313,2.99097
180,resampled_image,random,gd,3,0.130814,0.0768855,0.129814,0.0768369,0.0319338,0.0133083,1.29381,0.539219
270,rotated_directions,full_image,adam,3,0.0385041,0.0376651,0.0381133,0.0372127,0.00676994,0.00565579,0.27428,0.22914
270,rotated_directions,full_image,gd,3,0.00681699,0.00683889,0.00678744,0.00683109,0.000844806,0.00040241,0.0342267,0.0163033
270,rotated_directions,random,adam,3,0.770608,0.251777,0.787368,0.209946,0.311292,0.016803,12.6375,0.68482
270,rotated_directions,random,gd,3,0.130284,0.0605945,0.129469,0.0612247,0.0320883,0.0129257,1.30007,0.52371
270,resampled_image,full_image,adam,3,0.0541029,0.0601195,0.0539345,0.0599866,0.00921035,0.00911724,0.373152,0.369382
270,resampled_image,full_image,gd,3,0.00490532,0.00479117,0.00489892,0.00480403,0.000609628,0.000356474,0.0246986,0.0144423
270,resampled_image,random,adam,3,0.687312,0.305834,0.667499,0.242038,0.170301,0.124338,6.90885,5.05183
270,resampled_image,random,gd,3,0.164517,0.0784746,0.163647,0.0790741,0.0518841,0.0345704,2.10226,1.4008
