angle,mode,regime,optimizer,n_images,rel_err_direct_mean,rel_err_direct_std,rel_err_procrustes_mean,rel_err_procrustes_std,rot_mat_err_fro_mean,rot_mat_err_fro_std,rot_geodesic_deg_mean,rot_geodesic_deg_std
45,rotated_directions,full_image,adam,3,1.03435,0.0581262,1.09938,0.042231,0.562127,0.224835,22.9796,9.32228
45,rotated_directions,full_image,gd,3,0.0627489,0.0967182,0.0614009,0.0944168,0.0136605,0.021706,0.554395,0.878644
45,rotated_directions,random,adam,3,1.06574,0.0933322,1.03746,0.236813,0.442889,0.0622071,18.0206,2.55422
45,rotated_directions,random,gd,3,0.38056,0.287932,0.385138,0.294459,0.0362763,0.0259737,1.46985,1.05236
45,resampled_image,full_image,adam,3,1.04297,0.0663752,1.09221,0.0429303,0.612831,0.185622,25.0669,7.73054
45,resampled_image,full_image,gd,3,0.0760766,0.110688,0.0744468,0.107982,0.00971909,0.0135883,0.39504,0.549309
45,resampled_image,random,adam,3,1.00921,0.10356,1.04027,0.248729,0.473674,0.0613684,19.2846,2.52305
45,resampled_image,random,gd,3,0.407986,0.252294,0.40741,0.254214,0.0759128,0.0395343,3.07614,1.60232
90,rotated_directions,full_image,adam,3,0.304627,0.174934,0.295166,0.167203,0.0474127,0.0217685,1.92102,0.882086
90,rotated_directions,full_image,gd,3,0.0403297,0.0335081,0.0403276,0.0335378,0.00763279,0.00690902,0.309237,0.279915
90,rotated_directions,random,adam,3,0.916782,0.272325,0.964318,0.239048,0.395703,0.410813,16.2258,16.9703
90,rotated_directions,random,gd,3,0.436683,0.257714,0.438892,0.264787,0.057143,0.0245963,2.31532,0.99668
90,resampled_image,full_image,adam,3,0.352779,0.209615,0.345398,0.202285,0.0826345,0.0546894,3.34873,2.21653
90,resampled_image,full_image,gd,3,0.088252,0.0981179,0.0884158,0.098114,0.0122221,0.0141574,0.495175,0.573584
90,resampled_image,random,adam,3,0.969339,0.20992,1.02982,0.231701,0.431094,0.2622,17.5884,10.7824
90,resampled_image,random,gd,3,0.454662,0.207728,0.449713,0.203651,0.0806444,0.0653042,3.26835,2.64748
137,rotated_directions,full_image,adam,3,1.05269,0.0519469,1.05632,0.119298,0.60995,0.204582,24.9549,8.51043
137,rotated_directions,full_image,gd,3,0.0433681,0.0544878,0.0430535,0.053974,0.00244127,0.00182096,0.0979652,0.0749763
137,rotated_directions,random,adam,3,1.0561,0.0546786,1.04543,0.112039,0.801816,0.273828,33.0446,11.5093
137,rotated_directions,random,gd,3,0.414709,0.246791,0.412959,0.246494,0.0430008,0.0154978,1.74221,0.627977
137,resampled_image,full_image,adam,3,1.02915,0.0610342,1.01768,0.123747,0.568221,0.274804,23.2492,11.3264
137,resampled_image,full_image,gd,3,0.146497,0.114576,0.142221,0.109648,0.0152627,0.00978494,0.618268,0.396527
137,resampled_image,random,adam,3,1.08666,0.102121,1.10587,0.180045,0.542073,0.0415381,22.1001,1.71574
137,resampled_image,random,gd,3,0.42585,0.223321,0.429558,0.232189,0.0603161,0.0444173,2.44405,1.80016
